127.0.0.1 - - [16/Feb/2016:10:37:21 +0800] "GET /POS/extjs/resources/ext-theme-classic/ext-theme-classic-all.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:37:28 +0800] "GET /POS/FuncView/Main/Test.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:37:28 +0800] "GET /POS/css_src/dci.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:37:28 +0800] "GET /POS/extjs/resources/css/ext-all.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:37:28 +0800] "GET /POS/extjs/ext-all.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:37:28 +0800] "GET /POS/FuncView/Main/menu.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:37:28 +0800] "GET /POS/js_src/ExtComponent.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:37:28 +0800] "GET /POS/extjs/resources/ext-theme-classic/ext-theme-classic-all.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:58:03 +0800] "GET /POS/FuncView/Main/Test.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:58:03 +0800] "GET /POS/css_src/dci.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:58:03 +0800] "GET /POS/extjs/resources/css/ext-all.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:58:03 +0800] "GET /POS/extjs/ext-all.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:58:03 +0800] "GET /POS/FuncView/Main/menu.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:58:03 +0800] "GET /POS/js_src/ExtComponent.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:58:03 +0800] "GET /POS/extjs/resources/ext-theme-classic/ext-theme-classic-all.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2016:10:58:51 +0800] "GET /POS/extjs/resources/ext-theme-classic/images/dd/drop-no.gif HTTP/1.1" 200 949
127.0.0.1 - - [16/Feb/2016:10:58:51 +0800] "GET /POS/extjs/resources/ext-theme-classic/images/grid/col-move-top.gif HTTP/1.1" 200 869
127.0.0.1 - - [16/Feb/2016:10:58:51 +0800] "GET /POS/extjs/resources/ext-theme-classic/images/grid/col-move-bottom.gif HTTP/1.1" 200 868
127.0.0.1 - - [16/Feb/2016:10:58:52 +0800] "GET /POS/extjs/resources/ext-theme-classic/images/dd/drop-yes.gif HTTP/1.1" 200 1016
